site_id,day,month,year,min_temp,max_temp,min_humidity,max_humidity
1,1,1,2015,7.9,22.6,32,95
1,2,1,2015,5.7,20.7,68,99
1,3,1,2015,16.1,25.4,57,99
1,4,1,2015,11.4,24.6,26,96
1,5,1,2015,8.8,19.6,53,99
1,6,1,2015,9.4,20.6,63,99
1,7,1,2015,14.8,22.6,65,100
1,8,1,2015,14.6,21.0,82,100
1,9,1,2015,9.4,20.3,56,99
1,10,1,2015,13.6,19.9,64,99
1,11,1,2015,11.2,20.7,66,100
1,12,1,2015,12.9,20.5,64,99
1,13,1,2015,17.0,19.3,73,100
1,14,1,2015,16.6,26.0,55,100
1,15,1,2015,11.7,21.5,49,90
1,16,1,2015,10.1,19.7,57,99
1,17,1,2015,9.2,18.7,47,91
1,18,1,2015,10.2,18.6,40,79
1,19,1,2015,4.7,16.5,45,99
1,20,1,2015,14.0,19.3,67,90
1,21,1,2015,17.0,23.1,68,100
1,22,1,2015,16.5,21.4,79,100
1,23,1,2015,10.5,24.2,41,100
1,24,1,2015,5.2,20.4,52,99
1,25,1,2015,8.6,17.4,47,99
1,26,1,2015,4.5,19.3,37,99
1,27,1,2015,9.1,20.2,39,77
1,28,1,2015,6.7,20.5,37,99
1,29,1,2015,8.3,20.4,42,82
1,30,1,2015,7.1,22.7,38,93
1,31,1,2015,9.8,24.2,47,95
1,1,2,2015,13.0,20.3,58,93
1,2,2,2015,13.9,23.1,40,84
1,3,2,2015,12.9,24.2,39,90
1,4,2,2015,9.4,18.5,41,82
1,5,2,2015,6.3,22.7,43,95
1,6,2,2015,8.8,21.6,49,99
1,7,2,2015,13.2,21.6,73,99
1,8,2,2015,11.7,25.6,28,100
1,9,2,2015,12.5,19.7,52,99
1,10,2,2015,12.9,20.2,64,91
1,11,2,2015,15.4,24.4,52,95
1,12,2,2015,9.5,20.0,52,84
1,13,2,2015,13.6,18.9,55,81
1,14,2,2015,15.2,21.8,67,99
1,15,2,2015,18.8,21.4,77,100
1,16,2,2015,15.7,24.0,49,100
1,17,2,2015,10.9,21.0,72,100
1,18,2,2015,13.7,16.2,87,100
1,19,2,2015,19.5,21.5,73,100
1,20,2,2015,17.3,28.1,35,100
1,21,2,2015,18.3,22.9,68,100
1,22,2,2015,20.2,23.7,78,100
1,23,2,2015,13.5,23.5,42,100
1,24,2,2015,12.6,21.0,40,70
1,25,2,2015,13.4,20.4,54,89
1,26,2,2015,13.2,25.1,47,99
1,27,2,2015,7.8,21.6,44,99
1,28,2,2015,8.4,18.8,70,100
1,1,3,2015,10.0,19.5,47,95
1,2,3,2015,5.2,18.3,55,95
1,3,3,2015,6.1,21.1,40,99
1,4,3,2015,12.5,21.2,54,99
1,5,3,2015,7.5,16.9,35,93
1,6,3,2015,9.6,19.5,40,86
1,7,3,2015,9.7,20.2,65,99
1,8,3,2015,12.4,20.6,68,99
1,9,3,2015,9.4,20.3,55,100
1,10,3,2015,5.5,19.0,49,99
1,11,3,2015,6.7,19.7,53,99
1,12,3,2015,7.4,18.6,49,100
1,13,3,2015,2.2,17.1,45,99
1,14,3,2015,5.7,19.6,63,99
1,15,3,2015,5.3,15.8,45,93
1,16,3,2015,4.8,17.5,57,99
1,17,3,2015,14.7,18.0,69,100
1,18,3,2015,13.5,20.1,69,100
1,19,3,2015,9.7,18.2,83,100
1,20,3,2015,5.9,17.6,43,100
1,21,3,2015,3.5,16.3,49,99
1,22,3,2015,9.1,19.9,74,99
1,23,3,2015,12.1,19.4,73,100
1,24,3,2015,5.5,18.4,47,95
1,25,3,2015,6.2,16.8,55,96
1,26,3,2015,7.5,15.2,73,99
1,27,3,2015,7.1,18.6,56,99
1,28,3,2015,9.1,18.1,58,97
1,29,3,2015,11.3,18.6,69,95
1,30,3,2015,9.3,19.4,62,100
1,31,3,2015,8.3,18.7,67,99
1,1,4,2015,7.9,18.9,83,100
1,2,4,2015,9.1,16.9,42,99
1,3,4,2015,3.5,15.3,46,95
1,4,4,2015,4.4,16.2,72,99
1,5,4,2015,9.6,20.0,56,100
1,6,4,2015,7.9,18.5,55,98
1,7,4,2015,7.3,18.3,50,99
1,8,4,2015,4.2,18.9,46,98
1,9,4,2015,4.3,16.8,61,99
1,10,4,2015,7.8,17.1,68,99
1,11,4,2015,9.1,15.6,59,99
1,12,4,2015,6.2,17.3,39,91
1,13,4,2015,1.5,15.3,53,99
1,14,4,2015,7.4,16.3,77,99
1,15,4,2015,14.0,19.6,84,99
1,16,4,2015,10.2,16.7,53,99
1,17,4,2015,5.6,17.0,60,99
1,18,4,2015,6.7,16.8,68,99
1,19,4,2015,1.4,13.9,39,99
1,20,4,2015,0.3,16.4,40,99
1,21,4,2015,2.3,15.8,54,99
1,22,4,2015,4.4,18.4,58,99
1,23,4,2015,5.3,17.2,67,100
1,24,4,2015,11.1,14.4,93,100
1,25,4,2015,9.7,17.6,62,100
